Name
Cristiano Ronaldo
Lionel Messi
Luis Suarez
Antoine Griezmann
Neymar
Gareth Bale
Robert Lewandowski
Pierre-Emerick Aubameyang
Alexis Sanchez
Riyad Mahrez
Sergio Aguero
Luka Modric
Kevin De Bruyne
Gonzalo Higuain
Andres Iniesta
N'Golo Kante
Paul Pogba
Manuel Neuer
Jamie Vardy
Zlatan Ibrahimovic
Toni Kroos
Gianluigi Buffon
Mesut Ozil
Diego Godin
Sergio Ramos
Leonardo Bonucci
Dimitri Payet
Philippe Coutinho
David De Gea
Pepe
Thomas Muller
Arturo Vidal
Harry Kane
Ivan Rakitic
Eden Hazard
Jerome Boateng
Paulo Dybala
Gerard Pique
Sergio Busquets
Hugo Lloris
Koke
Jan Oblak
Angel Di Maria
David Silva
Marco Verratti
Diego Costa
Edinson Cavani
Marcelo
Mauro Icardi
Karim Benzema
Mats Hummels
Thiago Silva
Casemiro
Renato Sanches
Keylor Navas
Philipp Lahm
Henrikh Mkhitaryan
Toby Alderweireld
Kevin Gameiro
Joshua Kimmich
David Alaba
Javier Mascherano
Douglas Costa
Gabriel Jesus
Mohamed Salah
Giorgio Chiellini
Aritz Aduriz
Laurent Koscielny
Sadio Mane
Miralem Pjanic
alvaro Morata
Kasper Schmeichel
Aaron Ramsey
Raphael Guerreiro
Rui Patricio
Roberto Firmino
Yannick Carrasco
Dani Alves
Nani
Gianluigi Donnarumma
Claudio Bravo
Marek Hamsik
Miguel Borja
Blaise Matuidi
Ilkay Gundogan
Juan Mata
James Rodriguez
Raheem Sterling
Arjen Robben
Dele Alli
Adrien Silva
Thibaut Courtois
Fernandinho
Alexandre Lacazette
Ever Banega
Francesco Totti
Santi Cazorla
Thiago Alcantara
Julian Weigl
Ousmane Dembele
Romelu Lukaku
Islam Slimani
Andrea Barzagli
Radja Nainggolan
Javier Hernandez
Anthony Martial
Vitolo
Hector Bellerin
Gylfi Sigurdsson
Marco Reus
Gabi
Gary Medel
Grzegorz Krychowiak
Petr Cech
Andre Gomes
Joao Mario
Hatem Ben Arfa
Raphael Varane
Serge Aurier
Sebastian Giovinco
Xabi Alonso
Marquinhos
Kalidou Koulibaly
Yacine Brahimi
Yaya Toure
Adam Lallana
Carlos Bacca
Eduardo Vargas
Willian
Franco Armani
Wayne Rooney
Claudio Marchisio
Omar Abdulrahman
William Carvalho
Son Heung-min
Juan Cuadrado
Andrea Pirlo
Christian Pulisic
Birkir Bjarnason
Christian Eriksen
Arda Turan
Isco
Marc-Andre ter Stegen
Carlos Tevez
Edin Dzeko
Jonas Goncalves Oliveira
Sami Khedira
Lorenzo Insigne
Bernardo Silva
Alessandro Florenzi
Mario Gotze
Francis Coquelin
Marcus Rashford
Andrea Belotti
Jordi Alba
